Date,Open,High,Low,Close,Adj Close,Volume
2022-02-09,1805.000000,1821.000000,1750.000000,1765.000000,1764.834839,255476
2022-02-10,1769.000000,1830.000000,1676.750000,1810.550049,1810.380615,347972
2022-02-11,1796.900024,1799.000000,1731.000000,1790.300049,1790.132568,292368
2022-02-14,1713.300049,1755.000000,1700.800049,1712.300049,1712.139771,153454
2022-02-15,1626.699951,1749.000000,1626.699951,1737.699951,1737.537354,98405
2022-02-16,1728.000000,1760.000000,1675.000000,1686.349976,1686.192139,92227
2022-02-17,1709.000000,1747.900024,1681.000000,1726.849976,1726.688354,145965
2022-02-18,1697.000000,1726.849976,1650.000000,1665.199951,1665.044067,61173
2022-02-21,1675.000000,1675.000000,1581.949951,1591.099976,1590.951050,65240
2022-02-22,1545.000000,1598.000000,1511.550049,1587.500000,1587.351440,80783
2022-02-23,1595.000000,1666.849976,1580.000000,1641.800049,1641.646362,104403
2022-02-24,1561.000000,1614.500000,1559.750000,1565.050049,1564.903564,133530
2022-02-25,1566.250000,1625.000000,1550.000000,1573.199951,1573.052734,101266
2022-02-28,1524.699951,1604.949951,1510.300049,1588.500000,1588.351318,305348
2022-03-02,1592.000000,1667.900024,1550.300049,1667.900024,1667.743896,123179
2022-03-03,1735.000000,1751.250000,1701.300049,1751.250000,1751.086060,134848
2022-03-04,1769.949951,1838.000000,1733.000000,1805.199951,1805.031006,307022
2022-03-07,1769.099976,1789.800049,1714.949951,1714.949951,1714.789429,162241
2022-03-08,1692.000000,1755.050049,1629.250000,1629.650024,1629.497559,263876
2022-03-09,1650.000000,1695.400024,1601.000000,1615.349976,1615.198853,169156
2022-03-10,1644.900024,1696.099976,1622.050049,1696.050049,1695.891357,358381
2022-03-11,1686.150024,1714.000000,1649.250000,1661.849976,1661.694458,135449
2022-03-14,1664.900024,1677.300049,1642.050049,1650.349976,1650.195557,277776
2022-03-15,1655.000000,1673.000000,1610.000000,1624.400024,1624.248047,242931
2022-03-16,1631.000000,1696.900024,1631.000000,1685.099976,1684.942261,308775
2022-03-17,1701.250000,1769.349976,1682.250000,1766.800049,1766.634766,706012
2022-03-21,1810.199951,1836.900024,1790.650024,1814.150024,1813.980225,157858
2022-03-22,1845.449951,1904.849976,1805.000000,1883.949951,1883.773682,334089
2022-03-23,1889.000000,1914.000000,1845.000000,1898.000000,1897.822388,411440
2022-03-24,1910.000000,1992.900024,1855.000000,1979.750000,1979.564697,294149
2022-03-25,2015.000000,2069.000000,1977.750000,2054.600098,2054.407715,205342
2022-03-28,2095.000000,2221.949951,2080.000000,2141.199951,2140.999512,370493
2022-03-29,2179.000000,2190.000000,2090.000000,2180.800049,2180.595947,239910
2022-03-30,2179.000000,2242.899902,2070.000000,2124.649902,2124.451172,233133
2022-03-31,2100.000000,2208.949951,2096.000000,2149.800049,2149.598877,241990
2022-04-01,2178.550049,2281.000000,2155.649902,2249.500000,2249.289551,239883
2022-04-04,2280.000000,2382.000000,2268.000000,2369.800049,2369.578369,274461
2022-04-05,2366.800049,2485.000000,2310.000000,2468.149902,2467.918945,267152
2022-04-06,2489.949951,2560.000000,2468.149902,2536.949951,2536.712646,343764
2022-04-07,2530.000000,2600.000000,2303.000000,2362.699951,2362.478760,506677
2022-04-08,2399.800049,2450.000000,2378.850098,2427.100098,2426.873047,159992
2022-04-11,2469.000000,2669.800049,2469.000000,2665.000000,2664.750732,553146
2022-04-12,2700.000000,2740.000000,2454.050049,2502.050049,2501.815918,804605
2022-04-13,2545.000000,2569.949951,2465.449951,2500.850098,2500.615967,213500
2022-04-18,2482.500000,2520.050049,2322.699951,2495.000000,2494.766602,288489
2022-04-19,2522.000000,2552.000000,2300.000000,2369.399902,2369.178223,420809
2022-04-20,2421.000000,2500.000000,2415.000000,2478.399902,2478.167969,290667
2022-04-21,2509.000000,2530.000000,2415.199951,2443.350098,2443.121338,292017
2022-04-22,2420.000000,2480.000000,2393.000000,2413.000000,2412.774170,197099
2022-04-25,2419.000000,2474.750000,2400.000000,2420.000000,2419.773438,268339
2022-04-26,2478.149902,2595.000000,2430.000000,2562.500000,2562.260254,702985
2022-04-27,2573.050049,2580.000000,2448.649902,2503.000000,2502.765869,345199
2022-04-28,2553.000000,2628.000000,2532.100098,2562.600098,2562.360352,465693
2022-04-29,2599.399902,2609.699951,2373.699951,2450.949951,2450.720703,659458
2022-05-02,2451.000000,2520.000000,2442.149902,2488.199951,2487.967041,305245
2022-05-04,2450.000000,2504.949951,2434.050049,2447.050049,2446.821045,310199
