NAME|ADDL CO INFO|ADDRESS 1|ADDRESS 2|CITY|STATE|ZIP|LATITUDE|LONGITUDE
WOODWARD DETROIT CVS, L.L.C.|DBA: CVS/PHARMACY  # 08049|4995 HIGHLAND RD.||WATERFORD|MI|48328|42.659885|-83.386033
WOODWARD DETROIT CVS, L.L.C.|DBA: CVS/PHARMACY  # 08074|1715 COOLIDGE HWY.||BERKLEY|MI|48072|42.489307|-83.183564
WOODWARD DETROIT CVS, L.L.C.|DBA: CVS/PHARMACY  # 08064|1625 KING RD.||TRENTON|MI|48183|42.155689|-83.189215
WOODWARD DETROIT CVS, L.L.C.|DBA: CVS/PHARMACY  # 08024|67181 S MAIN ST||RICHMOND|MI|48062|42.796353|-82.735792
WOODWARD DETROIT CVS, L.L.C.|DBA: CVS/PHARMACY  # 08010|31411 CHERRY HILL||WESTLAND|MI|48186|42.310661|-83.349726
WOODWARD DETROIT CVS, L.L.C.|DBA: CVS/PHARMACY  # 08107|20460 MACK AVE.||GROSSE POINTE WOODS|MI|48236|42.439739|-82.907309
WAKEMED||ATTN: INPATIENT PHARMACY|3000 NEW BERN AVE|RALEIGH|NC|27610|35.783914|-78.587963
GARFIELD BEACH CVS, L.L.C.|DBA: CVS/PHARMACY  # 09103|318 W EL NORTE PARKWAY||ESCONDIDO|CA|92026|33.141879|-117.094799
WOODWARD DETROIT CVS, L.L.C.|DBA: CVS/PHARMACY  # 08056|8710 N. BEECH DALY||DEARBORN HEIGHTS|MI|48127|42.355616|-83.294002
GARFIELD BEACH CVS, L.L.C.|DBA: CVS/PHARMACY  # 09111|16773 BERNARDO CENTER DR||RANCHO BERNARDO|CA|92128|33.018858|-117.075091
JACKSONS DISCOUNT PHARMACY||11340 THREE RIVERS RD STE A||GULFPORT|MS|39503|30.449966|-89.074405
NORTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 07313|230 COLE AVE||RAEFORD|NC|28376|34.977808|-79.238663
NORTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 03895|4240 S. MAIN ST.||FARMVILLE|NC|27828|35.579639|-77.59365
CHEROKEE INDIAN HOSPITAL|IHS|1 HOSPITAL RD|CALLER BOX C-268|CHEROKEE|NC|28719|35.477135|-83.324121
NORTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 07046|14636 US HWY 17 N||HAMPSTEAD|NC|28443|34.366623|-77.711366
GARFIELD BEACH CVS, L.L.C.|DBA: CVS/PHARMACY  # 09646|42155 WASHINGTON ST.||PALM DESERT|CA|92211|33.742527|-116.30407
LAC VIEUX DESERT HEALTH CLINIC & PHARMACY||N5241 US HIGHWAY 45||WATERSMEET|MI|49969|46.287962|-89.178751
WAL-MART PHARMACY 10-2254||55 S. WHITE HORSE PIKE||HAMMONTON|NJ|08037|39.646355|-74.786535
NEW JERSEY CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 00243|4362 ROUTE 130 NORTH||WILLINGBORO|NJ|08046|40.052946|-74.893335
THRIFTY PAYLESS, INC.|RITE AID #5615|507 TELEGRAPH CANYON ROAD||CHULA VISTA|CA|91910|32.628901|-117.04188
THRIFTY PAYLESS, INC.|RITE AID #5722|42021 EAST FLORIDA AVENUE||HEMET|CA|92544|33.7479|-116.881
THRIFTY PAYLESS, INC.|RITE AID #5627|439 SANTA FE DRIVE|439 SANTA FE DRIVE|ENCINITAS|CA|92024|33.036025|-117.283364
THRIFTY PAYLESS, INC.|RITE AID #5632|9532 WINTER GARDENS BLVD.||LAKESIDE|CA|92040|32.850492|-116.931351
WAL-MART PHARMACY 10-1928||4313 CORUNNA RD||FLINT|MI|48532|43.001903|-83.764036
THRIFTY PAYLESS, INC.|RITE AID # 5725|23975 IRONWOOD AVE||MORENO VALLEY|CA|92557|33.946147|-117.244538
HENRY FORD MEDICAL CENTER|MAIN CAMPUS PHARMACY (LOBBY)|2799 W GRAND BLVD||DETROIT|MI|48202|42.367609|-83.084704
THE VONS COMPANIES INC|VONS PHARMACY #2358|3610 ADAMS AVENUE||SAN DIEGO|CA|92116|32.763441|-117.114753
THE VONS COMPANIES INC|VONS PHARMACY #2093|8011 UNIVERSITY AVE||LA MESA|CA|91942|32.765207|-117.024375
THE VONS COMPANIES INC|VONS PHARMACY #2156|2345 EAST VALLEY PARKWAY||ESCONDIDO|CA|92027|33.14034|-117.045172
THE VONS COMPANIES INC|PAVILIONS PHARMACY #2323|7544 GIRARD AVENUE||LA JOLLA|CA|92037|32.841015|-117.272861
THRIFTY PAYLESS, INC.|RITE AID #5652|3650 ADAMS AVENUE||SAN DIEGO|CA|92116|32.763432|-117.113445
THRIFTY PAYLESS, INC.|RITE AID #5656|8694 LAKE MURRAY BOULEVARD||SAN DIEGO|CA|92119|32.801435|-117.011905
THRIFTY PAYLESS, INC.|RITE AID #5671|1660 E FIRST ST||BEAUMONT|CA|92223|33.921959|-116.948276
NEW JERSEY CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 02462|191 NEW RD.,||SOMERS POINT|NJ|08244|39.331044|-74.593087
THE VONS COMPANIES INC|VONS PHARMACY #4018|10016 SCRIPPS RANCH BOULEVARD||SAN DIEGO|CA|92131|32.903774|-117.099853
MEIJER INC #195||6405 B DRIVE NORTH||BATTLE CREEK|MI|49014|42.261218|-85.172227
MEIJER INC #177||8401 26 MILE ROAD||WASHINGTON TWP|MI|48094|42.713979|-83.03266
HENRY FORD MACOMB AMBULATORY PHARMACY #2||30795 23 MILE RD||CHESTERFIELD|MI|48047|42.676272|-82.804905
FOOTHILLS PHARMACY|80 SHUFORD RD|80 SHUFORD RD||COLUMBUS|NC|28722|35.242872|-82.208367
WAL-MART PHARMACY 10-2644||5825 BROCKWAY ROAD||SAGINAW|MI|48638|43.435168|-84.032352
WALGREEN LOUISIANA CO., INC.|DBA: WALGREENS # 07095|1435 W TUNNEL BLVD||HOUMA|LA|70360|29.604286|-90.746423
WALGREEN CO.|DBA: WALGREENS # 07130|6958 GOODMAN RD||OLIVE BRANCH|MS|38654|34.962345|-89.86738
KAISER PERMANENTE PHRMCY 217||KFHP VANDEVER 1ST FLR PHARMACY|4405 VANDEVER STREET 1ST FLOOR|SAN DIEGO|CA|92120|32.787262|-117.099656
WALGREEN CO.|DBA: WALGREENS # 06315|2019 N MAIN STREET||HIGH POINT|NC|27262|35.981768|-80.022748
USMC- BMC MARINE RECRUIT DEPOT|NAVAL MEDICAL CENTER SAN DIEGO|35000 GUADALCANAL ST BLDG 596|MARINE CORPS RECRUIT DEPOT PHARMACY|SAN DIEGO|CA|92140|32.739538|-117.203603
